fips,long_name,county_name,state_abbr,state_name,region_name,division_name,division_name_recs,climate_zone,ba_climate_zone,iso_zone,custom_region,ahs_region,weather_file_2012,weather_file_2015,weather_file_2016,weather_file_2017,weather_file_2018,weather_file_2019,weather_file_TMY3,original_FIP,region,division,state,county,cz_number,acs_count,acs_vac_count,sample_count,acs_occupied_count
G01021,"AL, Chilton County",Chilton County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Birmingham.722300_2012.epw,USA_AL_Birmingham.722300_2015.epw,USA_AL_Birmingham.722300_2016.epw,USA_AL_Birmingham.722300_2017.epw,USA_AL_Birmingham.722300_2018.epw,USA_AL_Birmingham.722300_2019.epw,Maxwell_Afb,G0100210,3.0,6.0,1.0,21.0,3.0,19260.0,2641.0,1.0,16619.0
G01023,"AL, Choctaw County",Choctaw County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_MS_Meridian.Key.Field.722340_2012.epw,USA_MS_Meridian.Key.Field.722340_2015.epw,USA_MS_Meridian.Key.Field.722340_2016.epw,USA_MS_Meridian.Key.Field.722340_2017.epw,USA_MS_Meridian.Key.Field.722340_2018.epw,USA_MS_Meridian.Key.Field.722340_2019.epw,Meridian_Key_Field,G0100230,3.0,6.0,1.0,23.0,3.0,7241.0,1679.0,1.0,5562.0
G01025,"AL, Clarke County",Clarke County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Middleton.Fld.722276_2012.epw,USA_AL_Middleton.Fld.722276_2015.epw,USA_AL_Middleton.Fld.722276_2016.epw,USA_AL_Middleton.Fld.722276_2017.epw,USA_AL_Middleton.Fld.722276_2018.epw,USA_AL_Middleton.Fld.722276_2019.epw,Meridian_Key_Field,G0100250,3.0,6.0,1.0,25.0,3.0,12589.0,3035.0,1.0,9554.0
G01027,"AL, Clay County",Clay County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Anniston.Metropolit.722287_2012.epw,USA_AL_Anniston.Metropolit.722287_2015.epw,USA_AL_Anniston.Metropolit.722287_2016.epw,USA_AL_Anniston.Metropolit.722287_2017.epw,USA_AL_Anniston.Metropolit.722287_2018.epw,USA_AL_Anniston.Metropolit.722287_2019.epw,Anniston_Metropolitan_Ap,G0100270,3.0,6.0,1.0,27.0,3.0,6745.0,1382.0,1.0,5363.0
G01029,"AL, Cleburne County",Cleburne County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Anniston.Metropolit.722287_2012.epw,USA_AL_Anniston.Metropolit.722287_2015.epw,USA_AL_Anniston.Metropolit.722287_2016.epw,USA_AL_Anniston.Metropolit.722287_2017.epw,USA_AL_Anniston.Metropolit.722287_2018.epw,USA_AL_Anniston.Metropolit.722287_2019.epw,Anniston_Metropolitan_Ap,G0100290,3.0,6.0,1.0,29.0,3.0,6689.0,855.0,1.0,5834.0
G01031,"AL, Coffee County",Coffee County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Cairns.Aaf.722269_2012.epw,USA_AL_Cairns.Aaf.722269_2015.epw,USA_AL_Cairns.Aaf.722269_2016.epw,USA_AL_Cairns.Aaf.722269_2017.epw,USA_AL_Cairns.Aaf.722269_2018.epw,USA_AL_Cairns.Aaf.722269_2019.epw,Cairns_Field_Fort_Rucker,G0100310,3.0,6.0,1.0,31.0,3.0,22862.0,3487.0,1.0,19375.0
G01033,"AL, Colbert County",Colbert County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Northwest.Alabama.R.723235_2012.epw,USA_AL_Northwest.Alabama.R.723235_2015.epw,USA_AL_Northwest.Alabama.R.723235_2016.epw,USA_AL_Northwest.Alabama.R.723235_2017.epw,USA_AL_Northwest.Alabama.R.723235_2018.epw,USA_AL_Northwest.Alabama.R.723235_2019.epw,Muscle_Shoals_Regional_Ap,G0100330,3.0,6.0,1.0,33.0,3.0,26156.0,4051.0,1.0,22105.0
G01035,"AL, Conecuh County",Conecuh County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Middleton.Fld.722276_2012.epw,USA_AL_Middleton.Fld.722276_2015.epw,USA_AL_Middleton.Fld.722276_2016.epw,USA_AL_Middleton.Fld.722276_2017.epw,USA_AL_Middleton.Fld.722276_2018.epw,USA_AL_Middleton.Fld.722276_2019.epw,Montgomery_Dannelly_Field,G0100350,3.0,6.0,1.0,35.0,3.0,7055.0,1965.0,1.0,5090.0
G01037,"AL, Coosa County",Coosa County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Maxwell.Afb.722265_2012.epw,USA_AL_Maxwell.Afb.722265_2015.epw,USA_AL_Maxwell.Afb.722265_2016.epw,USA_AL_Maxwell.Afb.722265_2017.epw,USA_AL_Maxwell.Afb.722265_2018.epw,USA_AL_Maxwell.Afb.722265_2019.epw,Maxwell_Afb,G0100370,3.0,6.0,1.0,37.0,3.0,6453.0,2247.0,1.0,4206.0
G01039,"AL, Covington County",Covington County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Middleton.Fld.722276_2012.epw,USA_AL_Middleton.Fld.722276_2015.epw,USA_AL_Middleton.Fld.722276_2016.epw,USA_AL_Middleton.Fld.722276_2017.epw,USA_AL_Middleton.Fld.722276_2018.epw,USA_AL_Middleton.Fld.722276_2019.epw,Cairns_Field_Fort_Rucker,G0100390,3.0,6.0,1.0,39.0,3.0,18783.0,3604.0,1.0,15179.0
G01041,"AL, Crenshaw County",Crenshaw County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Montgomery.Dannelly.722260_2012.epw,USA_AL_Montgomery.Dannelly.722260_2015.epw,USA_AL_Montgomery.Dannelly.722260_2016.epw,USA_AL_Montgomery.Dannelly.722260_2017.epw,USA_AL_Montgomery.Dannelly.722260_2018.epw,USA_AL_Montgomery.Dannelly.722260_2019.epw,Troy_Af,G0100410,3.0,6.0,1.0,41.0,3.0,6699.0,1273.0,1.0,5426.0
G01043,"AL, Cullman County",Cullman County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Huntsville.Madison.723230_2012.epw,USA_AL_Huntsville.Madison.723230_2015.epw,USA_AL_Huntsville.Madison.723230_2016.epw,USA_AL_Huntsville.Madison.723230_2017.epw,USA_AL_Huntsville.Madison.723230_2018.epw,USA_AL_Huntsville.Madison.723230_2019.epw,Huntsville_Intl_Jones_Field,G0100430,3.0,6.0,1.0,43.0,3.0,37150.0,6069.0,1.0,31081.0
G01045,"AL, Dale County",Dale County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Dothan.Rgnl.722268_2012.epw,USA_AL_Dothan.Rgnl.722268_2015.epw,USA_AL_Dothan.Rgnl.722268_2016.epw,USA_AL_Dothan.Rgnl.722268_2017.epw,USA_AL_Dothan.Rgnl.722268_2018.epw,USA_AL_Dothan.Rgnl.722268_2019.epw,Cairns_Field_Fort_Rucker,G0100450,3.0,6.0,1.0,45.0,3.0,22839.0,4045.0,1.0,18794.0
G01047,"AL, Dallas County",Dallas County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Centreville.722290_2012.epw,USA_AL_Centreville.722290_2015.epw,USA_AL_Centreville.722290_2016.epw,USA_AL_Centreville.722290_2017.epw,USA_AL_Centreville.722290_2018.epw,USA_AL_Centreville.722290_2019.epw,Montgomery_Dannelly_Field,G0100470,3.0,6.0,1.0,47.0,3.0,20242.0,4143.0,1.0,16099.0
G01049,"AL, DeKalb County",DeKalb County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Gadsden.Muni.722285_2012.epw,USA_AL_Gadsden.Muni.722285_2015.epw,USA_AL_Gadsden.Muni.722285_2016.epw,USA_AL_Anniston.Metropolit.722287_2017.epw,USA_AL_Gadsden.Muni.722285_2018.epw,USA_AL_Gadsden.Muni.722285_2019.epw,Gadsen_Muni_Awos,G0100490,3.0,6.0,1.0,49.0,3.0,31068.0,6257.0,1.0,24811.0
G01051,"AL, Elmore County",Elmore County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Maxwell.Afb.722265_2012.epw,USA_AL_Maxwell.Afb.722265_2015.epw,USA_AL_Maxwell.Afb.722265_2016.epw,USA_AL_Maxwell.Afb.722265_2017.epw,USA_AL_Maxwell.Afb.722265_2018.epw,USA_AL_Maxwell.Afb.722265_2019.epw,Maxwell_Afb,G0100510,3.0,6.0,1.0,51.0,3.0,33322.0,4432.0,1.0,28890.0
G01053,"AL, Escambia County",Escambia County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Middleton.Fld.722276_2012.epw,USA_AL_Middleton.Fld.722276_2015.epw,USA_AL_Middleton.Fld.722276_2016.epw,USA_AL_Middleton.Fld.722276_2017.epw,USA_AL_Middleton.Fld.722276_2018.epw,USA_AL_Middleton.Fld.722276_2019.epw,Troy_Af,G0100530,3.0,6.0,1.0,53.0,3.0,16421.0,2885.0,1.0,13536.0
G01055,"AL, Etowah County",Etowah County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Gadsden.Muni.722285_2012.epw,USA_AL_Gadsden.Muni.722285_2015.epw,USA_AL_Gadsden.Muni.722285_2016.epw,USA_AL_Anniston.Metropolit.722287_2017.epw,USA_AL_Gadsden.Muni.722285_2018.epw,USA_AL_Gadsden.Muni.722285_2019.epw,Gadsen_Muni_Awos,G0100550,3.0,6.0,1.0,55.0,3.0,47504.0,7982.0,1.0,39522.0
G01057,"AL, Fayette County",Fayette County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Tuscaloosa.Rgnl.722286_2012.epw,USA_AL_Tuscaloosa.Rgnl.722286_2015.epw,USA_AL_Tuscaloosa.Rgnl.722286_2016.epw,USA_AL_Tuscaloosa.Rgnl.722286_2017.epw,USA_AL_Tuscaloosa.Rgnl.722286_2018.epw,USA_AL_Tuscaloosa.Rgnl.722286_2019.epw,Tuscaloosa_Municipal_Ap,G0100570,3.0,6.0,1.0,57.0,3.0,8412.0,1562.0,1.0,6850.0
G01059,"AL, Franklin County",Franklin County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Northwest.Alabama.R.723235_2012.epw,USA_AL_Northwest.Alabama.R.723235_2015.epw,USA_AL_Northwest.Alabama.R.723235_2016.epw,USA_AL_Northwest.Alabama.R.723235_2017.epw,USA_AL_Northwest.Alabama.R.723235_2018.epw,USA_AL_Northwest.Alabama.R.723235_2019.epw,Muscle_Shoals_Regional_Ap,G0100590,3.0,6.0,1.0,59.0,3.0,14050.0,2353.0,1.0,11697.0
G01061,"AL, Geneva County",Geneva County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Cairns.Aaf.722269_2012.epw,USA_AL_Cairns.Aaf.722269_2015.epw,USA_AL_Cairns.Aaf.722269_2016.epw,USA_AL_Cairns.Aaf.722269_2017.epw,USA_AL_Cairns.Aaf.722269_2018.epw,USA_AL_Cairns.Aaf.722269_2019.epw,Cairns_Field_Fort_Rucker,G0100610,3.0,6.0,1.0,61.0,3.0,12643.0,1986.0,1.0,10657.0
G01063,"AL, Greene County",Greene County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Tuscaloosa.Rgnl.722286_2012.epw,USA_AL_Tuscaloosa.Rgnl.722286_2015.epw,USA_AL_Tuscaloosa.Rgnl.722286_2016.epw,USA_AL_Tuscaloosa.Rgnl.722286_2017.epw,USA_AL_Tuscaloosa.Rgnl.722286_2018.epw,USA_AL_Tuscaloosa.Rgnl.722286_2019.epw,Tuscaloosa_Municipal_Ap,G0100630,3.0,6.0,1.0,63.0,3.0,4996.0,1889.0,1.0,3107.0
G01065,"AL, Hale County",Hale County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Centreville.722290_2012.epw,USA_AL_Centreville.722290_2015.epw,USA_AL_Centreville.722290_2016.epw,USA_AL_Centreville.722290_2017.epw,USA_AL_Centreville.722290_2018.epw,USA_AL_Centreville.722290_2019.epw,Tuscaloosa_Municipal_Ap,G0100650,3.0,6.0,1.0,65.0,3.0,7655.0,1707.0,1.0,5948.0
G01067,"AL, Henry County",Henry County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Dothan.Rgnl.722268_2012.epw,USA_AL_Dothan.Rgnl.722268_2015.epw,USA_AL_Dothan.Rgnl.722268_2016.epw,USA_AL_Dothan.Rgnl.722268_2017.epw,USA_AL_Dothan.Rgnl.722268_2018.epw,USA_AL_Dothan.Rgnl.722268_2019.epw,Dothan_Municipal_Ap,G0100670,3.0,6.0,1.0,67.0,3.0,8950.0,2119.0,1.0,6831.0
G01069,"AL, Houston County",Houston County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Dothan.Rgnl.722268_2012.epw,USA_AL_Dothan.Rgnl.722268_2015.epw,USA_AL_Dothan.Rgnl.722268_2016.epw,USA_AL_Dothan.Rgnl.722268_2017.epw,USA_AL_Dothan.Rgnl.722268_2018.epw,USA_AL_Dothan.Rgnl.722268_2019.epw,Dothan_Municipal_Ap,G0100690,3.0,6.0,1.0,69.0,3.0,46385.0,7022.0,1.0,39363.0
G01071,"AL, Jackson County",Jackson County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Gadsden.Muni.722285_2012.epw,USA_AL_Gadsden.Muni.722285_2015.epw,USA_AL_Gadsden.Muni.722285_2016.epw,USA_AL_Huntsville.Madison.723230_2017.epw,USA_AL_Gadsden.Muni.722285_2018.epw,USA_AL_Gadsden.Muni.722285_2019.epw,Gadsen_Muni_Awos,G0100710,3.0,6.0,1.0,71.0,3.0,24773.0,4828.0,1.0,19945.0
G01073,"AL, Jefferson County",Jefferson County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Birmingham.Muni.722280_2012.epw,USA_AL_Birmingham.Muni.722280_2015.epw,USA_AL_Birmingham.Muni.722280_2016.epw,USA_AL_Birmingham.Muni.722280_2017.epw,USA_AL_Birmingham.Muni.722280_2018.epw,USA_AL_Birmingham.Muni.722280_2019.epw,Birmingham_Municipal_Ap,G0100730,3.0,6.0,1.0,73.0,3.0,305262.0,43489.0,1.0,261773.0
G01075,"AL, Lamar County",Lamar County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_MS_Columbus.Afb.723306_2012.epw,USA_MS_Columbus.Afb.723306_2015.epw,USA_MS_Columbus.Afb.723306_2016.epw,USA_MS_Columbus.Afb.723306_2017.epw,USA_MS_Columbus.Afb.723306_2018.epw,USA_MS_Columbus.Afb.723306_2019.epw,Columbus_Afb,G0100750,3.0,6.0,1.0,75.0,3.0,7327.0,1317.0,1.0,6010.0
G01077,"AL, Lauderdale County",Lauderdale County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Northwest.Alabama.R.723235_2012.epw,USA_AL_Northwest.Alabama.R.723235_2015.epw,USA_AL_Northwest.Alabama.R.723235_2016.epw,USA_AL_Northwest.Alabama.R.723235_2017.epw,USA_AL_Northwest.Alabama.R.723235_2018.epw,USA_AL_Northwest.Alabama.R.723235_2019.epw,Muscle_Shoals_Regional_Ap,G0100770,3.0,6.0,1.0,77.0,3.0,44313.0,5952.0,1.0,38361.0
G01079,"AL, Lawrence County",Lawrence County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Pryor.Fld.Rgnl.722279_2012.epw,USA_AL_Pryor.Fld.Rgnl.722279_2015.epw,USA_AL_Pryor.Fld.Rgnl.722279_2016.epw,USA_AL_Pryor.Fld.Rgnl.722279_2017.epw,USA_AL_Pryor.Fld.Rgnl.722279_2018.epw,USA_AL_Pryor.Fld.Rgnl.722279_2019.epw,Muscle_Shoals_Regional_Ap,G0100790,3.0,6.0,1.0,79.0,3.0,15181.0,1860.0,1.0,13321.0
G01081,"AL, Lee County",Lee County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_GA_Columbus.Metropolit.722255_2012.epw,USA_GA_Columbus.Metropolit.722255_2015.epw,USA_GA_Columbus.Metropolit.722255_2016.epw,USA_GA_Columbus.Metropolit.722255_2017.epw,USA_GA_Columbus.Metropolit.722255_2018.epw,USA_GA_Columbus.Metropolit.722255_2019.epw,Auburn_Opelika_Apt,G0100810,3.0,6.0,1.0,81.0,3.0,65701.0,7800.0,1.0,57901.0
G01083,"AL, Limestone County",Limestone County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Pryor.Fld.Rgnl.722279_2012.epw,USA_AL_Pryor.Fld.Rgnl.722279_2015.epw,USA_AL_Pryor.Fld.Rgnl.722279_2016.epw,USA_AL_Pryor.Fld.Rgnl.722279_2017.epw,USA_AL_Pryor.Fld.Rgnl.722279_2018.epw,USA_AL_Pryor.Fld.Rgnl.722279_2019.epw,Huntsville_Intl_Jones_Field,G0100830,3.0,6.0,1.0,83.0,3.0,35515.0,3442.0,1.0,32073.0
G01085,"AL, Lowndes County",Lowndes County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Montgomery.Dannelly.722260_2012.epw,USA_AL_Montgomery.Dannelly.722260_2015.epw,USA_AL_Montgomery.Dannelly.722260_2016.epw,USA_AL_Montgomery.Dannelly.722260_2017.epw,USA_AL_Montgomery.Dannelly.722260_2018.epw,USA_AL_Montgomery.Dannelly.722260_2019.epw,Montgomery_Dannelly_Field,G0100850,3.0,6.0,1.0,85.0,3.0,5081.0,843.0,1.0,4238.0
G01087,"AL, Macon County",Macon County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Maxwell.Afb.722265_2012.epw,USA_AL_Maxwell.Afb.722265_2015.epw,USA_AL_Maxwell.Afb.722265_2016.epw,USA_AL_Maxwell.Afb.722265_2017.epw,USA_AL_Maxwell.Afb.722265_2018.epw,USA_AL_Maxwell.Afb.722265_2019.epw,Auburn_Opelika_Apt,G0100870,3.0,6.0,1.0,87.0,3.0,10222.0,2307.0,1.0,7915.0
G01089,"AL, Madison County",Madison County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Huntsville.Madison.723230_2012.epw,USA_AL_Huntsville.Madison.723230_2015.epw,USA_AL_Huntsville.Madison.723230_2016.epw,USA_AL_Huntsville.Madison.723230_2017.epw,USA_AL_Huntsville.Madison.723230_2018.epw,USA_AL_Huntsville.Madison.723230_2019.epw,Huntsville_Intl_Jones_Field,G0100890,3.0,6.0,1.0,89.0,3.0,154710.0,14761.0,1.0,139949.0
G01091,"AL, Marengo County",Marengo County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Centreville.722290_2012.epw,USA_AL_Centreville.722290_2015.epw,USA_AL_Centreville.722290_2016.epw,USA_AL_Centreville.722290_2017.epw,USA_AL_Centreville.722290_2018.epw,USA_AL_Centreville.722290_2019.epw,Meridian_Naas,G0100910,3.0,6.0,1.0,91.0,3.0,10208.0,2059.0,1.0,8149.0
G01093,"AL, Marion County",Marion County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Northwest.Alabama.R.723235_2012.epw,USA_AL_Northwest.Alabama.R.723235_2015.epw,USA_AL_Northwest.Alabama.R.723235_2016.epw,USA_AL_Northwest.Alabama.R.723235_2017.epw,USA_AL_Northwest.Alabama.R.723235_2018.epw,USA_AL_Northwest.Alabama.R.723235_2019.epw,Muscle_Shoals_Regional_Ap,G0100930,3.0,6.0,1.0,93.0,3.0,14702.0,2216.0,1.0,12486.0
G01095,"AL, Marshall County",Marshall County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Gadsden.Muni.722285_2012.epw,USA_AL_Gadsden.Muni.722285_2015.epw,USA_AL_Gadsden.Muni.722285_2016.epw,USA_AL_Huntsville.Madison.723230_2017.epw,USA_AL_Gadsden.Muni.722285_2018.epw,USA_AL_Gadsden.Muni.722285_2019.epw,Gadsen_Muni_Awos,G0100950,3.0,6.0,1.0,95.0,3.0,40352.0,5891.0,1.0,34461.0
